71202062,2,1,888,110500,0,1953,C+ / AVERAGE+,5188 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"11,900",3/8/19,124250,12/5/14,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202064,3,1,"1,260",114500,0,1949,C+ / AVERAGE+,5172 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",9/26/19,0,9/30/09,107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202066,3,1,"1,312",117600,0,1941,B / GOOD,5164 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,N/A,"8,500",12/28/17,0,2/19/04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202068,3,1,"1,494",122000,0,1950,C+ / AVERAGE+,5152 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",6/28/07,0,5/24/95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202070,4,2,"2,144",198000,1,1968,B / GOOD,5187 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"14,775",9/17/13,165000,8/25/03,228000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202072,4,2,"2,395",206000,1,1968,B / GOOD,5219 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"15,000",11/27/13,194000,10/10/06,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202074,4,2,"2,100",197100,1,1966,B / GOOD,5155 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"14,550",5/27/10,0,9/29/08,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202076,4,2,"2,168",199200,0,1969,B / GOOD,5211 HICKORY DR,"LYNDHURST, OH. 44124",FAIR,ATTACHED,No,"14,925",1/8/19,224000,5/23/18,145000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202078,5,2,"2,416",206300,1,1968,B / GOOD,5195 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"14,850",10/28/10,110000,1/21/10,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202080,3,2,"2,112",197200,1,1968,B / GOOD,5179 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"14,700",4/25/19,203000,12/30/98,187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71203002,4,1,"1,338",107600,0,1953,C+ / AVERAGE+,5247 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,"9,150",8/26/09,136500,4/21/00,121300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71203004,3,1,"1,189",103300,1,1950,C+ / AVERAGE+,5255 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,"9,150",8/21/95,0,7/9/76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71203006,3,1,"1,180",120000,0,1951,C+ / AVERAGE+,5267 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,"9,200",5/19/17,125000,9/15/06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71203008,3,1,"1,168",103100,1,1951,C+ / AVERAGE+,5275 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,"9,200",7/20/09,115000,7/20/09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71203010,3,1,"1,840",120700,1,1969,C+ / AVERAGE+,5287 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,"9,200",5/8/09,0,9/29/08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71203012,4,1,"1,561",113400,1,1950,C+ / AVERAGE+,5295 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,"9,250",5/27/16,114000,8/22/14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71203014,3,1,"1,232",103600,1,1947,C+ / AVERAGE+,5292 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,"8,500",4/4/05,0,3/3/05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71203016,3,1,"1,436",109600,1,1950,C+ / AVERAGE+,5280 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",9/28/18,149995,12/22/06,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71203018,3,1,"1,577",113100,1,1951,C+ / AVERAGE+,5272 CASE AVE,"LYNDHURST, OH. 44124",FAIR,ATTACHED,No,"8,500",9/10/18,81000,4/12/01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71203020,2,1,920,94500,0,1941,C / AVERAGE,5260 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,"8,500",4/23/97,92500,2/20/97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
